tensor(1172.9836, grad_fn=<MseLossBackward>)
tensor(809.5467, grad_fn=<MseLossBackward>)
tensor(650.4064, grad_fn=<MseLossBackward>)
tensor(426.9029, grad_fn=<MseLossBackward>)
tensor(677.2740, grad_fn=<MseLossBackward>)
tensor(530.4182, grad_fn=<MseLossBackward>)
tensor(454.8756, grad_fn=<MseLossBackward>)
tensor(177.7875, grad_fn=<MseLossBackward>)
tensor(510.3567, grad_fn=<MseLossBackward>)
tensor(466.8161, grad_fn=<MseLossBackward>)
tensor(620.2091, grad_fn=<MseLossBackward>)
tensor(683.5688, grad_fn=<MseLossBackward>)
tensor(461.0971, grad_fn=<MseLossBackward>)
tensor(654.6379, grad_fn=<MseLossBackward>)
tensor(820.2953, grad_fn=<MseLossBackward>)
tensor(809.5504, grad_fn=<MseLossBackward>)
tensor(335.3015, grad_fn=<MseLossBackward>)
tensor(831.9320, grad_fn=<MseLossBackward>)
tensor(481.2106, grad_fn=<MseLossBackward>)
tensor(502.4382, grad_fn=<MseLossBackward>)
tensor(728.2493, grad_fn=<MseLossBackward>)
tensor(513.8068, grad_fn=<MseLossBackward>)
tensor(200.5123, grad_fn=<MseLossBackward>)
tensor(334.5213, grad_fn=<MseLossBackward>)
tensor(226.4336, grad_fn=<MseLossBackward>)
tensor(143.9390, grad_fn=<MseLossBackward>)
tensor(128.5832, grad_fn=<MseLossBackward>)
tensor(616.6815, grad_fn=<MseLossBackward>)
tensor(755.7491, grad_fn=<MseLossBackward>)
tensor(379.9038, grad_fn=<MseLossBackward>)
tensor(630.8160, grad_fn=<MseLossBackward>)
tensor(377.6360, grad_fn=<MseLossBackward>)
tensor(727.8654, grad_fn=<MseLossBackward>)
tensor(319.3406, grad_fn=<MseLossBackward>)
tensor(422.4824, grad_fn=<MseLossBackward>)
tensor(376.3177, grad_fn=<MseLossBackward>)
tensor(335.1658, grad_fn=<MseLossBackward>)
tensor(327.9082, grad_fn=<MseLossBackward>)
tensor(426.5488, grad_fn=<MseLossBackward>)
tensor(278.7256, grad_fn=<MseLossBackward>)
tensor(176.2061, grad_fn=<MseLossBackward>)
tensor(145.0829, grad_fn=<MseLossBackward>)
tensor(44.6078, grad_fn=<MseLossBackward>)
tensor(657.2790, grad_fn=<MseLossBackward>)
tensor(469.1408, grad_fn=<MseLossBackward>)
tensor(71.4540, grad_fn=<MseLossBackward>)
tensor(144.6092, grad_fn=<MseLossBackward>)
tensor(67.6985, grad_fn=<MseLossBackward>)
tensor(173.4707, grad_fn=<MseLossBackward>)
tensor(268.8670, grad_fn=<MseLossBackward>)
tensor(90.4541, grad_fn=<MseLossBackward>)
tensor(168.7857, grad_fn=<MseLossBackward>)
tensor(127.5768, grad_fn=<MseLossBackward>)
tensor(166.6167, grad_fn=<MseLossBackward>)
tensor(351.0448, grad_fn=<MseLossBackward>)
tensor(94.4997, grad_fn=<MseLossBackward>)
tensor(85.7685, grad_fn=<MseLossBackward>)
tensor(174.9177, grad_fn=<MseLossBackward>)
tensor(86.3261, grad_fn=<MseLossBackward>)
tensor(33.3737, grad_fn=<MseLossBackward>)
tensor(457.4483, grad_fn=<MseLossBackward>)
tensor(195.2285, grad_fn=<MseLossBackward>)
tensor(86.8890, grad_fn=<MseLossBackward>)
tensor(178.5513, grad_fn=<MseLossBackward>)
tensor(316.6244, grad_fn=<MseLossBackward>)
tensor(169.7937, grad_fn=<MseLossBackward>)
tensor(104.2816, grad_fn=<MseLossBackward>)
tensor(144.6991, grad_fn=<MseLossBackward>)
tensor(144.7735, grad_fn=<MseLossBackward>)
tensor(352.3093, grad_fn=<MseLossBackward>)
tensor(61.1282, grad_fn=<MseLossBackward>)
tensor(169.6622, grad_fn=<MseLossBackward>)
tensor(75.7179, grad_fn=<MseLossBackward>)
tensor(104.5680, grad_fn=<MseLossBackward>)
tensor(292.0541, grad_fn=<MseLossBackward>)
tensor(974.7954, grad_fn=<MseLossBackward>)
tensor(187.3907, grad_fn=<MseLossBackward>)
tensor(169.5681, grad_fn=<MseLossBackward>)
tensor(332.1900, grad_fn=<MseLossBackward>)
tensor(171.5517, grad_fn=<MseLossBackward>)
tensor(143.6554, grad_fn=<MseLossBackward>)
tensor(147.6818, grad_fn=<MseLossBackward>)
tensor(141.0777, grad_fn=<MseLossBackward>)
tensor(69.7949, grad_fn=<MseLossBackward>)
tensor(244.7730, grad_fn=<MseLossBackward>)
tensor(284.0397, grad_fn=<MseLossBackward>)
tensor(286.5182, grad_fn=<MseLossBackward>)
tensor(72.0512, grad_fn=<MseLossBackward>)
tensor(89.1875, grad_fn=<MseLossBackward>)
tensor(46.1330, grad_fn=<MseLossBackward>)
tensor(67.3090, grad_fn=<MseLossBackward>)
tensor(311.0630, grad_fn=<MseLossBackward>)
tensor(54.1171, grad_fn=<MseLossBackward>)
tensor(247.4767, grad_fn=<MseLossBackward>)
tensor(941.1739, grad_fn=<MseLossBackward>)
tensor(1013.4114, grad_fn=<MseLossBackward>)
tensor(380.3897, grad_fn=<MseLossBackward>)
tensor(25.8351, grad_fn=<MseLossBackward>)
tensor(271.3490, grad_fn=<MseLossBackward>)
tensor(1224.8585, grad_fn=<MseLossBackward>)
tensor(67.5797, grad_fn=<MseLossBackward>)
tensor(776.6810, grad_fn=<MseLossBackward>)
tensor(578.4092, grad_fn=<MseLossBackward>)
tensor(432.7743, grad_fn=<MseLossBackward>)
tensor(130.0482, grad_fn=<MseLossBackward>)
tensor(471.4948, grad_fn=<MseLossBackward>)
tensor(1208.5505, grad_fn=<MseLossBackward>)
tensor(434.2426, grad_fn=<MseLossBackward>)
tensor(530.5373, grad_fn=<MseLossBackward>)
tensor(1374.1199, grad_fn=<MseLossBackward>)
tensor(1122.7393, grad_fn=<MseLossBackward>)
tensor(1180.6339, grad_fn=<MseLossBackward>)
tensor(2071.8018, grad_fn=<MseLossBackward>)
tensor(392.6241, grad_fn=<MseLossBackward>)
tensor(478.3759, grad_fn=<MseLossBackward>)
tensor(2256.8997, grad_fn=<MseLossBackward>)
tensor(2270.4006, grad_fn=<MseLossBackward>)
tensor(420.8224, grad_fn=<MseLossBackward>)
tensor(702.3340, grad_fn=<MseLossBackward>)
tensor(436.5274, grad_fn=<MseLossBackward>)
tensor(379.6073, grad_fn=<MseLossBackward>)
tensor(573.2005, grad_fn=<MseLossBackward>)
tensor(129.7091, grad_fn=<MseLossBackward>)
tensor(550.2939, grad_fn=<MseLossBackward>)
tensor(1336.1500, grad_fn=<MseLossBackward>)
tensor(331.9325, grad_fn=<MseLossBackward>)
tensor(1206.5734, grad_fn=<MseLossBackward>)
tensor(238.1353, grad_fn=<MseLossBackward>)
tensor(287.8678, grad_fn=<MseLossBackward>)
tensor(343.7107, grad_fn=<MseLossBackward>)
tensor(402.4894, grad_fn=<MseLossBackward>)
tensor(399.3680, grad_fn=<MseLossBackward>)
tensor(423.0302, grad_fn=<MseLossBackward>)
tensor(183.4414, grad_fn=<MseLossBackward>)
tensor(243.3842, grad_fn=<MseLossBackward>)
tensor(1104.8975, grad_fn=<MseLossBackward>)
tensor(346.8648, grad_fn=<MseLossBackward>)
tensor(255.7062, grad_fn=<MseLossBackward>)
tensor(427.2071, grad_fn=<MseLossBackward>)
tensor(275.5310, grad_fn=<MseLossBackward>)
tensor(160.6079, grad_fn=<MseLossBackward>)
tensor(347.8900, grad_fn=<MseLossBackward>)
tensor(450.2384, grad_fn=<MseLossBackward>)
tensor(321.4450, grad_fn=<MseLossBackward>)
tensor(345.2509, grad_fn=<MseLossBackward>)
tensor(4826.4312, grad_fn=<MseLossBackward>)
tensor(5037.3389, grad_fn=<MseLossBackward>)
tensor(236.2847, grad_fn=<MseLossBackward>)
tensor(404.1511, grad_fn=<MseLossBackward>)
tensor(650.6721, grad_fn=<MseLossBackward>)
tensor(1472.5154, grad_fn=<MseLossBackward>)
tensor(579.9170, grad_fn=<MseLossBackward>)
tensor(879.4820, grad_fn=<MseLossBackward>)
tensor(688.3975, grad_fn=<MseLossBackward>)
tensor(479.8260, grad_fn=<MseLossBackward>)
tensor(248.1396, grad_fn=<MseLossBackward>)
tensor(846.2659, grad_fn=<MseLossBackward>)
tensor(338.3708, grad_fn=<MseLossBackward>)
